         20514661 function calls (20358712 primitive calls) in 4.648 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFile.py:607(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:618(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:692(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:742(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:93(_Tile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:21(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:26(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:24(Iterator)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:20(PaletteFile)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1075(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1086(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:120(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:151(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:240(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:262(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:346(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:700(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(Disposal)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:24(_TagInfo)
        1    0.000    0.000    0.000    0.000 TiffTags.py:32(TagInfo)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:429(_populate)
        1    0.000    0.000    0.017    0.017 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:101(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       62    0.001    0.000    1.527    0.025 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        2    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(flush)
        1    0.000    0.000    0.000    0.000 __init__.py:108(ErrorTypeInfo)
        6    0.000    0.000    0.002    0.000 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1088(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:119(Cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
